trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
72,0,72,0,114.21936320937675,115.22276140229951,115.20606174586283,down,1,0.2046482020050462,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
73,0,73,0,115.44025933371086,116.44375261686946,116.42701250934624,down,0,0.0709392572134675,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
74,0,74,0,116.52745466384295,117.53090508092646,117.5141888214348,down,0,0.11957323316528345,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
75,0,75,0,117.66468496605376,118.66819213540293,118.65147889464788,down,0,0.054104663206089754,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
76,0,76,0,118.7353131623313,119.73859030387393,119.72186438442077,down,1,6.3448528663757315,-5,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
77,0,77,0,126.09564145608238,127.09782339962476,127.09782339962476,up,0,0.0086497198244615,-2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
78,0,78,0,127.13111011358706,128.13493877849032,128.1183037230403,up,0,0.1720071960153291,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
79,0,79,0,128.32044111001233,129.3221578660923,129.3221578660923,down,1,0.03979222446650965,-3,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
80,0,80,0,129.38903437527188,130.3924863017237,130.37575343917342,up,0,0.09116027106938418,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
81,0,81,0,130.49290521194052,131.49638068454806,131.4797398934934,up,0,0.07478663829169818,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
82,0,82,0,131.58001873428657,132.58358446714556,132.56680058793063,down,0,0.2836751300492324,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
83,0,83,0,132.86795075714326,133.8711509208806,133.85458016453777,down,1,1.7478941841363849,4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
84,0,84,0,135.62899050697524,136.63116611116857,136.63116611116857,up,0,0.17107289672640036,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
85,0,85,0,136.8332084079084,137.8350513472178,137.8350513472178,down,0,0.23223070938547608,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
86,0,86,0,138.08594738400643,139.0893549350185,139.07263052493,up,1,0.27372808776271995,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
87,0,87,0,139.37374477116828,140.37715020906398,140.3604970411834,down,1,0.2186877468629973,-2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
88,0,88,0,140.61130613833302,141.61479700649943,141.59811938684652,up,0,0.18008050787102547,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
89,0,89,0,141.79887690886244,142.80230287416998,142.78558601093027,down,1,0.3524274827759655,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
90,0,90,0,143.1702637440867,144.1737153686663,144.15700212790762,up,0,0.22898405708838254,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
91,0,91,0,144.4077635290014,145.41176758256188,145.39507426547425,down,0,0.3827842100181442,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
92,0,92,0,145.79751787319037,146.79996546564144,146.79996546564144,up,1,0.0666025387654372,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
93,0,93,0,146.885026548287,147.88676956738345,147.88676956738345,down,0,0.5308711001525808,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
94,0,94,0,148.43866694962344,149.44251251946116,149.42577120444184,up,0,0.30433023837031214,-4,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
95,0,95,0,149.76178115178845,150.7637901216658,150.7637901216658,down,0,0.2781979325336579,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
96,0,96,0,151.06462754966196,152.06836202995692,152.06836202995692,down,1,0.045474092388758436,2,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
97,0,97,0,152.13632347343082,153.13869227683244,153.13869227683244,up,1,0.36717884596509975,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
98,0,98,0,153.52496450719264,154.5265173458174,154.5265173458174,down,1,0.24318691564985784,1,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
99,0,99,0,154.79419665807654,155.79770292180547,155.78094832434363,up,1,0.15759513893499388,0,605201,001,2022-09-09_15h43.36.484,zeel,2022.2.2,59.680701760326286,
